	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
26	10.331	10.763	34.374	13.735	14.126	14.179	19.040	36.200	34.855	29.733	57.253	41.268	38.600	36.257	160.207	0.8314	22.892	47.224	55.466	27.241	68.842	75.394	60.891	14.563	225.033	0.0000	17.500	97.788	32.594	58.696	336.448	81.203	15.644	76.506	41.407	99.740	0.6782	47.707	46.735	21.401	62.941	45.394	185.420	56.269	46.523
27	29.066	28.572	57.735	17.561	15.807	18.219	43.247	27.138	45.617	22.847	47.494	44.649	46.303	0.7960	94.621	12.594	66.301	24.926	22.772	50.769	85.011	89.753	79.892	34.847	211.558	17.500	0.0000	40.421	35.459	68.268	317.219	41.683	10.450	53.637	33.308	53.054	34.892	106.771	43.016	25.870	29.959	32.784	123.532	47.706	25.626
28	114.900	115.336	184.609	104.344	94.875	62.823	165.717	116.496	154.324	113.767	143.224	138.709	142.065	56.232	140.106	78.975	206.301	94.518	27.945	175.179	187.337	176.984	219.430	148.369	297.066	97.788	40.421	0.0000	91.082	164.516	465.005	66.218	88.640	133.942	101.340	100.186	135.156	267.252	130.177	120.794	11.671	86.921	181.438	141.974	72.195
29	39.921	22.408	46.073	27.419	68.735	50.629	63.031	46.635	46.077	53.941	58.572	54.004	19.521	50.904	136.170	60.716	77.455	41.597	104.118	72.016	117.522	115.619	67.300	45.265	293.386	32.594	35.459	91.082	0.0000	77.899	508.066	153.822	46.212	67.136	46.414	86.512	24.201	130.437	51.249	30.973	82.507	23.116	142.529	41.795	68.365
30	22.114	26.006	77.971	64.424	79.082	60.617	72.158	43.213	16.840	55.235	29.732	0.5683	81.632	78.811	153.091	77.688	74.414	69.202	132.647	24.848	0.7836	10.575	75.984	62.624	78.210	58.696	68.268	164.516	77.899	0.0000	362.497	143.923	60.353	35.716	0.9273	61.595	48.959	119.861	0.9260	32.461	148.222	27.282	148.403	80.374	23.292
31	353.295	385.574	323.313	306.021	223.140	372.454	250.989	270.842	321.108	237.360	297.562	329.453	400.275	268.324	304.082	269.141	282.246	300.731	300.436	258.915	324.990	382.712	310.106	281.130	347.558	336.448	317.219	465.005	508.066	362.497	0.0000	188.281	248.873	317.815	358.093	317.479	379.839	265.275	335.928	311.245	433.081	434.617	361.706	332.155	317.170
32	100.251	117.397	148.253	85.462	37.366	65.441	100.163	86.284	127.449	68.548	117.436	118.490	153.367	40.582	128.370	40.097	133.314	85.989	14.801	109.764	136.852	149.752	172.025	102.243	215.049	81.203	41.683	66.218	153.822	143.923	188.281	0.0000	50.935	121.596	103.509	99.423	126.821	159.350	117.897	101.055	53.547	126.638	182.789	132.320	63.915
33	27.534	25.912	26.639	0.5161	0.6175	36.369	14.511	0.9964	26.231	0.3967	28.217	33.539	30.435	0.8089	82.780	13.099	34.376	14.548	48.620	24.630	75.704	90.879	39.804	11.231	206.139	15.644	10.450	88.640	46.212	60.353	248.873	50.935	0.0000	40.210	35.159	51.642	25.386	65.763	33.646	11.073	72.416	41.755	107.179	26.276	35.686
34	57.989	48.773	56.385	42.608	73.609	96.195	67.695	12.265	18.390	24.671	0.3142	16.826	46.351	36.525	43.816	87.516	96.384	17.121	125.867	44.327	65.790	78.424	43.668	55.657	144.763	76.506	53.637	133.942	67.136	35.716	317.815	121.596	40.210	0.0000	18.949	0.9121	68.181	155.616	10.206	20.735	147.497	22.464	39.165	25.101	33.166
35	18.061	17.569	64.168	39.308	55.637	40.792	61.436	23.247	13.939	33.441	17.550	0.4301	55.201	40.087	103.056	54.040	75.495	35.827	87.838	29.443	25.892	27.489	67.008	49.208	108.599	41.407	33.308	101.340	46.414	0.9273	358.093	103.509	35.159	18.949	0.0000	31.589	39.063	127.588	0.3503	18.044	96.378	0.7412	105.449	51.762	0.7931
